,Depth,Depth_pred,XRF/Hardness Sample #,XRF/Hardness Sample #_pred,HLD,HLD_pred,Na,Na_pred,Mg,Mg_pred,Al,Al_pred,Si,Si_pred,P,P_pred,S,S_pred,Cl,Cl_pred,K,K_pred,Ca,Ca_pred,Ti,Ti_pred,V,V_pred,Cr,Cr_pred,Mn,Mn_pred,Fe,Fe_pred,Co,Co_pred,Ni,Ni_pred,Cu,Cu_pred,Zn,Zn_pred,Ga,Ga_pred,As,As_pred,Se,Se_pred,Rb,Rb_pred,Sr,Sr_pred,Y,Y_pred,Zr,Zr_pred,Nb,Nb_pred,Mo,Mo_pred,Ba,Ba_pred,Pb,Pb_pred,Th,Th_pred,U,U_pred
0,5.091985,8.058433532714844,29,58.709991455078125,831,833.9967346191406,0.6028,0.3583443760871887,1.9759,2.1719443798065186,3.1041,3.2549896240234375,23.8214,27.31912612915039,0.0513,0.04754519462585449,0.3375,0.3684769291430712,0.0,-0.0025924528017640114,2.204,2.378652572631836,4.7527,5.284886360168457,0.2309,0.2159220576286316,0.0053,0.004864804446697235,0.0035,0.0022950095590204,0.2669,0.35821062326431274,1.4632,1.4737992137670517,0.0003,0.0004325309564592317,0.0009,0.001002357224933803,0.0006,0.0006849119090475142,0.0041,0.007993311854079366,0.001,0.0009414537125849165,0.0004,0.0002929467591457069,0.0003,0.00016418985615018755,0.0069,0.006757613504305482,0.0052,0.00581626920029521,0.0024,0.002251534489914775,0.0241,0.01940171979367733,0.0008,0.0007893097354099154,0.0011,0.0007616830989718437,0.0163,0.022425547242164612,0.001,0.0008799575734883547,0.0,0.0002814438194036484,0.0,0.0002860064269043505
1,5.191136,7.712593078613281,30,55.04364013671875,787,805.3890991210938,0.0,0.148868590593338,3.0761,2.9751243591308594,3.7203,3.076127052307129,34.2746,28.492138862609863,0.095,0.06816437840461731,0.4096,0.38560339249670506,0.0,-0.0014142896980047226,2.4717,2.1746110916137695,7.0713,6.83531379699707,0.2509,0.21235889196395874,0.0024,0.003945644944906235,0.0015,0.0016046178061515093,0.4562,0.4348289370536804,1.5361,1.509951651096344,0.0008,0.0005364690005080774,0.0012,0.0012829472543671727,0.0008,0.0005918872775509953,0.0031,0.0024241649080067873,0.0006,0.0007912642176961526,0.0003,0.0002944829175248742,0.0,-7.848233508411795e-06,0.0056,0.005912377964705229,0.0058,0.0052393225487321615,0.0022,0.002132942609023303,0.0276,0.02381075918674469,0.0006,0.0006627872935496271,0.0013,0.0012125875800848007,0.0281,0.01923113316297531,0.0008,0.0007558756042271852,0.0005,0.00043298269156366587,0.0,0.0003024558536708355
2,5.388347,10.492801666259766,32,82.98794555664062,826,794.6155090332031,0.0,0.22184979915618896,2.6096,2.9399619102478027,4.4394,3.534736156463623,30.5786,28.742209434509277,0.0866,0.09182581305503845,0.563,0.500767121091485,0.0,-0.0009292718023061752,2.9229,2.4822882413864136,5.2006,6.567265510559082,0.2859,0.230201356112957,0.004,0.004065108485519886,0.0044,0.0020333342254161835,0.329,0.44662994146347046,1.8028,1.6359001696109772,0.0008,0.000630486712907441,0.0019,0.0014242030447348952,0.0017,0.000827756361104548,0.0049,0.005707401083782315,0.0013,0.0009235427569365129,0.0006,0.0003971923142671585,0.0,1.121211244026199e-05,0.0084,0.006816922454163432,0.0056,0.0053805147763341665,0.0026,0.0023846596595831215,0.0229,0.024698903784155846,0.0009,0.0007446932722814381,0.0013,0.0013584229163825512,0.0238,0.022459112107753754,0.0008,0.0007733870297670364,0.0,0.0004451849963515997,0.0,0.0004192026099190116
3,5.477692,9.198127746582031,33,70.21112060546875,801,780.8110198974609,0.1757,0.25410619378089905,2.248,2.711923837661743,4.8208,4.216821551322937,30.0766,29.238102912902832,0.086,0.10223039984703064,0.7079,0.5054554473608732,0.0,0.00021969527006149292,3.2068,2.8976017236709595,4.0119,5.6902546882629395,0.3106,0.25867002457380295,0.0079,0.004900780506432056,0.0034,0.0020524777937680483,0.2473,0.3973020315170288,2.0352,1.768616795539856,0.0009,0.0007203384593594819,0.0021,0.0016184189589694142,0.0015,0.0009265205590054393,0.0051,0.007985186530277133,0.0013,0.0010798085713759065,0.0004,0.00040807423647493124,0.0,8.195472037186846e-05,0.0096,0.008299203123897314,0.005,0.005489099537953734,0.0028,0.0026149196783080697,0.0234,0.023554211482405663,0.0009,0.0009706753771752119,0.0011,0.0011696447618305683,0.0292,0.024469874799251556,0.0,0.0006136049050837755,0.0009,0.0003320034593343735,0.0006,0.0005619880394078791
4,5.575753,8.82468032836914,34,66.22137451171875,847,801.0796508789062,0.0,0.1780610978603363,2.6029,2.961059331893921,4.1674,3.2595707178115845,30.6274,28.592167854309082,0.0808,0.07762894034385681,0.4316,0.431668883189559,0.0,-0.001220284029841423,2.7769,2.2976819276809692,5.5317,6.728094100952148,0.2724,0.21949587389826775,0.0043,0.00399343017488718,0.003,0.0017761045601218939,0.3499,0.4395493268966675,1.6422,1.560331016778946,0.0006,0.0005740760680055246,0.0016,0.0013394495472311974,0.001,0.0006862349109724164,0.0041,0.003737460123375058,0.0009,0.0008441756217507645,0.0004,0.0003355666412971914,0.0,-2.241067704744637e-07,0.0075,0.006274195620790124,0.0056,0.005295799346640706,0.0026,0.002233629405964166,0.0219,0.024166017770767212,0.001,0.0006955496501177549,0.0011,0.0012709216680377722,0.0251,0.020522326231002808,0.0006,0.0007628803141415119,0.0004,0.0004378637531772256,0.0011,0.0003491545794531703
5,5.702142,4.083320617675781,35,19.109100341796875,734,769.2315521240234,0.2791,0.24906226992607117,2.335,2.4962100982666016,4.5103,3.798672914505005,29.4775,29.141756057739258,0.1014,0.06947287917137146,0.1752,0.21945847384631634,0.0,0.003898722119629383,3.0626,2.625545859336853,4.4093,5.4342803955078125,0.3039,0.24620405212044716,0.0065,0.005596693605184555,0.0013,0.0009812007192522287,0.2745,0.33195602893829346,1.8077,1.576839879155159,0.0007,0.000620585007709451,0.0015,0.0012307954602874815,0.0007,0.0005251655820757151,0.0051,0.00536946882493794,0.0008,0.0009080694508156739,0.0003,0.00023775576846674085,0.0003,0.00012974486890016124,0.0091,0.0074329799972474575,0.0052,0.005285036517307162,0.0025,0.002225704083684832,0.027,0.02295028418302536,0.0011,0.0008717844029888511,0.0011,0.000962656456977129,0.0232,0.02537761628627777,0.0012,0.0004406475927680731,0.0004,0.00022859335877001286,0.0006,0.0004559773369692266
6,5.803472,7.6019134521484375,36,53.93212890625,808,806.2241516113281,0.0,0.15190383791923523,2.5533,2.961035966873169,4.1008,3.146071195602417,30.5908,28.614055633544922,0.1028,0.07306897640228271,0.2997,0.3736187871545553,0.0,-0.001725776121020317,2.7549,2.224838614463806,5.6031,6.819770812988281,0.2701,0.21113170310854912,0.0061,0.003996324725449085,0.0018,0.0013756360858678818,0.3561,0.442487895488739,1.4665,1.5066465884447098,0.0006,0.0005462445697048679,0.0012,0.001261912810150534,0.0005,0.0005426950810942799,0.0051,0.0031490197870880365,0.0009,0.0007967420242493972,0.0003,0.00029539153911173344,0.0,1.1761068890336901e-05,0.0074,0.005978485569357872,0.0055,0.005260412348434329,0.0025,0.002135004790034145,0.022,0.023328527808189392,0.0009,0.0006626697140745819,0.001,0.0012155422009527683,0.0189,0.019971616566181183,0.0,0.0006920925807207823,0.0,0.0004131693858653307,0.0,0.0003526075161062181
7,5.896085,7.712593078613281,37,55.04364013671875,797,805.3890991210938,0.0,0.148868590593338,2.17,2.9751243591308594,2.702,3.076127052307129,24.9057,28.492138862609863,0.0625,0.06816437840461731,0.3388,0.38560339249670506,0.0,-0.0014142896980047226,2.0391,2.1746110916137695,4.9265,6.83531379699707,0.192,0.21235889196395874,0.0049,0.003945644944906235,0.0013,0.0016046178061515093,0.308,0.4348289370536804,1.4218,1.509951651096344,0.0003,0.0005364690005080774,0.0015,0.0012829472543671727,0.0012,0.0005918872775509953,0.0036,0.0024241649080067873,0.0007,0.0007912642176961526,0.0006,0.0002944829175248742,0.0,-7.848233508411795e-06,0.0068,0.005912377964705229,0.0054,0.0052393225487321615,0.0023,0.002132942609023303,0.0229,0.02381075918674469,0.0008,0.0006627872935496271,0.001,0.0012125875800848007,0.0152,0.01923113316297531,0.0008,0.0007558756042271852,0.0008,0.00043298269156366587,0.0008,0.0003024558536708355
8,5.994146,5.885250091552734,38,36.815216064453125,840,814.319091796875,0.184,0.09908989071846008,2.4635,2.475476026535034,4.5508,4.109016299247742,29.3678,29.69660472869873,0.082,0.06989631056785583,0.5292,0.46079504676163197,0.0,-0.0065099988132715225,3.0928,2.777915358543396,4.6078,5.358867168426514,0.2667,0.2516303062438965,0.0059,0.005165169946849346,0.0,0.002517819870263338,0.28,0.31708353757858276,1.8472,1.682875782251358,0.0007,0.0006586211238754913,0.002,0.0014933932106941938,0.001,0.0008796881884336472,0.0053,0.0038206533063203096,0.0013,0.0010547542915446684,0.0004,0.0003835284151136875,0.0,5.074217187939212e-05,0.0094,0.008132734335958958,0.0056,0.0055641436483711,0.0027,0.002536088286433369,0.022,0.020798075944185257,0.0011,0.000968898821156472,0.0009,0.0007970777805894613,0.0307,0.022315554320812225,0.0,0.00022194022312760353,0.0,0.00010173546615988016,0.0,0.00046932778786867857
9,6.090028,8.26748275756836,39,60.641815185546875,848,804.0999755859375,0.0,0.20262283086776733,2.6674,2.937255620956421,3.9012,3.150333046913147,32.7898,28.156758308410645,0.0923,0.07369115948677063,0.3948,0.40266228280961514,0.0,-0.0010913033038377762,2.6071,2.2310622930526733,6.1737,6.770211219787598,0.2265,0.21547939628362656,0.0023,0.00390956737101078,0.0022,0.0018525144550949335,0.3892,0.44542717933654785,1.5097,1.5333130359649658,0.0006,0.0005399702495196834,0.0015,0.0012883421732112765,0.0006,0.000660922727547586,0.0039,0.003953824983909726,0.0011,0.0008317442698171362,0.0,0.0003189166309311986,0.0,5.361674993764609e-06,0.0066,0.006110974587500095,0.0055,0.0053996972274035215,0.0022,0.0022172945900820196,0.0211,0.024012062698602676,0.0006,0.0006835818057879806,0.0011,0.001224809791892767,0.0202,0.020257577300071716,0.0011,0.0006907079368829727,0.0006,0.00041483051609247923,0.0004,0.0002831135061569512
